WKT,fid,O,D,length,walkwidth2,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green_ori,bridge,tunnel,crosswalk_ori,roof,river,D/H,gradient2,gradient,maxspeed,O_altitude,D_altitude,crosswalk,pedst,green,walkratio
"LINESTRING (139.6351511 35.4451014,139.6351717 35.4451211,139.6352069 35.4451548,139.6354147 35.4453537)",1,1,304,36.841,5,5,24,1,34,16.66666667,7,2,2,0,0,0,0,0,1.44,-0.005428734,0.0054,50,1.5,1.3,0,0,1,0.208333333333333
"LINESTRING (139.6351511 35.4451014,139.6350952 35.4451518,139.6346356 35.4456024,139.6345646 35.4456508)",2,1,281,81.084,0,0,4,1,37,19.325,9.9,2,0,0,0,0,0,,0.20698577,-0.002466578,0.0025,,1.5,1.3,0,0,0,0
"LINESTRING (139.6348471 35.4448707,139.6351004 35.4450629,139.6351403 35.4450932,139.6351511 35.4451014)",3,1,89,37.635,5,5,24,1,0,0,0,0,0,0,1,0,0,,0,0.002657101,-0.0027,50,1.5,1.6,0,0,0,0.208333333333333
"LINESTRING (139.6370181 35.4473158,139.6371207 35.4472557,139.638059 35.4467315)",4,2,13,114.51,4,4,14,1,68,44.5,21,,1,0,0,0,0,,0.314606742,-0.000873286,0.0009,,1.5,1.4,0,0,1,0.285714285714286
"LINESTRING (139.6373284 35.4477195,139.6372893 35.4476692,139.6370515 35.4473606,139.6370181 35.4473158)",5,2,3,52.964,10,10,30,1,68,44,20,2,2,0,0,0,0,,0.681818182,0.016992674,-0.017,,1.5,2.4,0,0,1,0.333333333333333
"LINESTRING (139.6360062 35.447893,139.6360595 35.4478625,139.6369262 35.4473701,139.6370181 35.4473158)",6,2,12,111.9,4,4,10,1,33,24.5,16,,0,0,0,0,0,,0.408163265,-0.002680965,0.0027,,1.5,1.2,0,0,0,0.4
"LINESTRING (139.6373284 35.4477195,139.6372239 35.4477705,139.6362937 35.44826,139.6362381 35.4482943)",7,3,67,117.666,7.5,7.5,19,1,31,0,26.5,,2,0,0,0,0,,0,-0.00254959,0.0025,,2.4,2.1,0,0,1,0.394736842105263
"LINESTRING (139.6376326 35.4481189,139.6375959 35.4480698,139.6373681 35.4477723,139.6373284 35.4477195)",8,3,126,52.266,9,9,23.5,1,31,25,19,2,2,0,0,0,0,,0.94,0.005739869,-0.0057,,2.4,2.7,0,0,1,0.382978723404255
"LINESTRING (139.6383772 35.4471624,139.6374429 35.4476616,139.6373284 35.4477195)",9,3,73,113.421,7.5,7.5,19,1,68,0,31,,2,0,0,0,0,,0,-0.008816709,0.0088,,2.4,1.4,0,0,1,0.394736842105263
"LINESTRING (139.6383407 35.4490416,139.6383741 35.449128)",10,4,26,10.072,11.5,0,29,1,0,0,0,0,0,0,0,1,0,,0,-0.029785544,0.0298,,2.6,2.3,1,0,0,0
"LINESTRING (139.638609 35.4494474,139.6385742 35.4494,139.6384161 35.4491845,139.6383741 35.449128)",11,4,92,41.402,5.5,5.5,15,1,31,25.5,20,2,0,0,0,0,0,,0.588235294,-0.002415342,0.0024,,2.6,2.5,0,0,0,0.366666666666667
"LINESTRING (139.6383741 35.449128,139.6385264 35.4490366,139.6390459 35.4487705,139.6393582 35.4486107,139.6394192 35.4485805)",12,4,74,112.595,5,5,25.5,0,,0,,,0,0,0,0,0,,0,-0.000888139,0.0009,,2.6,2.5,0,0,0,0.196078431372549
"LINESTRING (139.6372833 35.4496789,139.6373896 35.4496167,139.6382712 35.4491829,139.6383741 35.449128)",13,4,25,116.292,4.5,4.5,25.5,1,,0,,,0,0,0,0,0,,0,-0.002579713,0.0026,,2.6,2.3,0,0,0,0.176470588235294
"LINESTRING (139.6424612 35.448601,139.6425132 35.4485471)",14,5,6,7.623,7,0,24.5,1,,0,,,0,0,0,1,0,,0,0,0,40,2.9,2.9,1,0,0,0
"LINESTRING (139.6425132 35.4485471,139.6424593 35.448463,139.6423461 35.4483073)",15,5,241,30.671,5,5,22.5,1,,0,,,1,0,0,0,0,,0,0.003260409,-0.0033,40,2.9,3,0,0,1,0.222222222222222
"LINESTRING (139.6435943 35.4480125,139.6434771 35.4480702,139.6429665 35.4483217,139.6426022 35.4485012,139.6425132 35.4485471)",16,5,20,114.562,7,7,24.5,1,,0,,,2,0,0,0,0,,0,0.00174578,-0.0017,40,2.9,3.1,0,0,1,0.285714285714286
"LINESTRING (139.6413195 35.4491516,139.6414039 35.4491135,139.6423929 35.4486345,139.6424612 35.448601)",17,6,117,120.187,7,7,24.5,1,,0,,,2,0,0,0,0,,0,-0.00249611,0.0025,40,2.9,2.6,0,0,1,0.285714285714286
"LINESTRING (139.6422735 35.4483421,139.6423961 35.4484977,139.6424612 35.448601)",18,6,242,33.471,5,5,22.5,1,,0,,,1,0,0,0,0,,0,-0.002987661,0.003,40,2.9,2.8,0,0,1,0.222222222222222
"LINESTRING (139.6416053 35.4474589,139.6416844 35.4474178)",19,7,655,8.499,5,0,25.5,1,0,0,0,0,0,0,0,1,0,,0,0,0,,3.4,3.4,1,0,0,0
"LINESTRING (139.6416053 35.4474589,139.6416571 35.4475308,139.6418629 35.4478035)",20,7,83,44.865,5,5,22.5,1,,0,,,2,0,0,0,0,,0,-0.008915636,0.0089,40,3.4,3,0,0,1,0.222222222222222
"LINESTRING (139.6415573 35.4473987,139.6416053 35.4474589)",21,7,77,7.982,4.5,0,22.5,1,0,0,0,0,0,0,0,1,0,,0,0,0,50,3.4,3.4,1,0,0,0
"LINESTRING (139.6404997 35.4480275,139.6405642 35.4479979,139.6410853 35.4477284,139.6415173 35.4475048,139.6416053 35.4474589)",22,7,116,118.446,5,5,25.5,1,46,25.25,17,2,0,0,0,0,0,,1.00990099,-0.003377066,0.0034,,3.4,3,0,0,0,0.196078431372549
"LINESTRING (139.637662 35.4424274,139.6377081 35.4425527)",23,8,90,14.545,5.5,0,18,1,0,0,0,0,0,0,0,1,0,,0,-0.055001719,0.055,,2.4,1.6,1,0,0,0
"LINESTRING (139.6371438 35.4420907,139.6375854 35.4423547,139.637662 35.4424274)",24,8,203,60.274,5.5,5.5,18,1,41,30,10,2,0,0,0,0,0,,0.6,-0.018249992,0.0182,40,2.4,1.3,0,0,0,0.305555555555556
"LINESTRING (139.637662 35.4424274,139.6375653 35.4425251,139.6375211 35.4425756,139.6373533 35.4427207)",25,8,661,43.02,7,7,20,1,,0,,,2,0,0,0,0,,0,-0.011622501,0.0116,50,2.4,1.9,0,0,1,0.35
"LINESTRING (139.6377868 35.4424715,139.637662 35.4424274)",26,8,91,12.323,5.7,0,18,1,0,0,0,0,0,0,0,1,0,,0,-0.064919257,0.0649,,2.4,1.6,1,0,0,0
"LINESTRING (139.638038 35.4420239,139.637662 35.4424274)",27,8,209,56.332,5,5,29,1,41,32.975,29,2,2,0,0,0,0,,0.879454132,-0.01242633,0.0124,40,2.4,1.7,0,0,1,0.172413793103448
"LINESTRING (139.6397238 35.4450464,139.6396645 35.4450747,139.6387073 35.4456063,139.6386639 35.4456488)",28,9,112,117.315,5,5,15.5,1,,0,,,2,0,0,0,0,,0,0.000852406,-0.0009,,0.8,0.9,0,0,1,0.32258064516129
"LINESTRING (139.6395276 35.4447903,139.6397238 35.4450464)",29,9,308,33.568,5,5,23.5,1,36,33.5,31,0,2,0,0,0,0,,0.701492537,-0.005958055,0.006,50,0.8,0.6,0,0,1,0.212765957446808
"LINESTRING (139.6391736 35.450178,139.6390904 35.4502188,139.638901 35.4503083)",30,10,94,28.631,7,7,24.5,1,,0,,,0,0,0,0,0,,0,-0.003492718,0.0035,40,2.6,2.5,0,0,0,0.285714285714286
"LINESTRING (139.6353235 35.4488179,139.6350721 35.4484326)",31,11,236,48.52,4.5,4.5,12,1,29,19.5,9,2,1,0,0,0,0,,0.615384615,0.010305029,-0.0103,,1.7,2.2,0,0,1,0.375
"LINESTRING (139.6350721 35.4484326,139.6355303 35.4481706,139.6355665 35.4481458)",32,11,280,54.994,3.5,3.5,11,1,,0,,,0,0,0,0,0,,0,-0.007273521,0.0073,,1.7,1.3,0,0,0,0.318181818181818
"LINESTRING (139.6336591 35.4492264,139.6337095 35.4491983,139.6350721 35.4484326)",33,11,66,155.478,3.5,3.5,11,1,,0,,,0,0,0,0,0,,0,0.002572711,-0.0026,,1.7,2.1,0,0,0,0.318181818181818
"LINESTRING (139.6362381 35.4482943,139.6360062 35.447893)",34,12,67,49.32,6,6,18,1,32,30,28,2,2,0,0,0,0,,0.6,0.018248175,-0.0182,,1.2,2.1,0,0,1,0.333333333333333
"LINESTRING (139.6355665 35.4481458,139.6356085 35.4481147,139.6359602 35.4479199,139.6360062 35.447893)",35,12,280,48.795,3.5,3.5,10,1,,0,,,2,0,0,0,0,,0,0.00204939,-0.002,,1.2,1.3,0,0,1,0.35
"LINESTRING (139.638059 35.4467315,139.6390516 35.4461739,139.6390996 35.4461509)",36,13,113,114.265,3,3,10.5,1,,0,,,0,0,0,0,0,,0,-0.002625476,0.0026,,1.4,1.1,0,0,0,0.285714285714286
"LINESTRING (139.6382267 35.4469414,139.638059 35.4467315)",37,13,292,27.848,5.5,5.5,17,1,,0,,,2,0,0,0,0,,0,0.025136455,-0.0251,,1.4,2.1,0,0,1,0.323529411764706
"LINESTRING (139.6347693 35.4479564,139.6345494 35.4481174)",38,14,312,26.782,4.6,4.6,13.2,1,30,21,10,2,1,0,0,0,0,,0.628571429,0,0,,0.9,0.9,0,0,1,0.348484848484848
"LINESTRING (139.6345059 35.4477795,139.6347276 35.4479186,139.6347693 35.4479564)",39,14,297,30.999,3.5,3.5,11.7,1,,0,,,2,0,0,0,0,,0,0.006451821,-0.0065,,0.9,1.1,0,0,1,0.299145299145299
"LINESTRING (139.6352519 35.4476181,139.6347693 35.4479564)",40,14,284,57.673,5,5,12,1,,0,,,2,0,0,0,0,,0,-0.001733914,0.0017,,0.9,0.8,0,0,1,0.416666666666667
"LINESTRING (139.635682 35.4473125,139.6355137 35.4470227)",41,15,299,35.649,6,6,18,1,39,16.25,4,2,2,0,0,0,0,,1.107692308,0.008415383,-0.0084,,0.8,1.1,0,0,1,0.333333333333333
"LINESTRING (139.635682 35.4473125,139.6356283 35.4473506,139.6352519 35.4476181)",42,15,284,51.698,5,5,12,1,,0,,,2,0,0,0,0,,0,0,0,,0.8,0.8,0,0,1,0.416666666666667
"LINESTRING (139.63662 35.4467904,139.6365135 35.4468489,139.636383 35.446916,139.6363383 35.4469197,139.6358939 35.4471714,139.6358581 35.4472142,139.6357312 35.4472789,139.635682 35.4473125)",43,15,16,103.85,5,5,12,1,,0,,,2,0,0,0,0,,0,0.001925855,-0.0019,,0.8,1,0,0,1,0.416666666666667
"LINESTRING (139.6364282 35.4465236,139.6365674 35.4467229,139.63662 35.4467904)",44,16,298,34.387,8.5,8.5,24,1,45,43,41,2,2,0,0,0,0,,0.558139535,0,0,,1,1,0,0,1,0.354166666666667
"LINESTRING (139.6376047 35.4462247,139.636727 35.4467274,139.63662 35.4467904)",45,16,17,109.149,5,5,12,1,45,29.4,12,2,2,0,0,0,0,,0.408163265,0,0,,1,1,0,0,1,0.416666666666667
"LINESTRING (139.6376047 35.4462247,139.637392 35.445988)",46,17,300,32.619,5.5,5.5,17,1,,0,,,2,0,0,0,0,,0,0.009197094,-0.0092,,1,1.3,0,0,1,0.323529411764706
"LINESTRING (139.6386639 35.4456488,139.6386077 35.4456693,139.6376047 35.4462247)",47,17,112,115.438,5,5,12,1,37,24,14,2,2,0,0,0,0,,0.5,-0.000866266,0.0009,,1,0.9,0,0,1,0.416666666666667
"LINESTRING (139.6365155 35.4486898,139.6362381 35.4482943)",48,18,67,50.65,6,6,18,1,38,27,17,2,2,0,0,0,0,,0.666666667,-0.001974334,0.002,,2.2,2.1,0,0,1,0.333333333333333
"LINESTRING (139.6365155 35.4486898,139.6365744 35.4486587,139.637096 35.4483899)",49,18,657,62.267,4,4,13,1,,0,,,0,0,0,0,0,,0,0.004817961,-0.0048,,2.2,2.5,0,0,0,0.307692307692308
"LINESTRING (139.6368549 35.4491284,139.636813 35.4490757,139.6365155 35.4486898)",50,18,120,57.653,6,6,18,1,36,29,17,2,2,0,0,0,0,,0.620689655,-0.001734515,0.0017,,2.2,2.1,0,0,1,0.333333333333333
"LINESTRING (139.6360713 35.4489151,139.6364591 35.4487219,139.6365155 35.4486898)",51,18,285,47.409,4,4,13,1,,0,,,0,0,0,0,0,,0,-0.004218608,0.0042,,2.2,2,0,0,0,0.307692307692308
"LINESTRING (139.6403138 35.4458063,139.6403892 35.4457792)",52,19,293,7.465,4.5,0,13.5,1,,0,,,2,0,0,1,0,,0,-0.013395847,0.0134,,1.3,1.2,1,0,0,0
"LINESTRING (139.6414521 35.4452365,139.6413231 35.4453059,139.6404628 35.4457539,139.6403892 35.4457792)",53,19,45,113.733,4.5,4.5,13.5,1,31,22.8,6,2,2,0,0,0,0,,0.592105263,0,0,,1.3,1.3,0,0,1,0.333333333333333
"LINESTRING (139.6403892 35.4457792,139.6402382 35.4455794,139.6401358 35.4454486)",54,19,42,43.341,4.5,4.5,22.5,1,38,25.2,13,2,2,0,0,0,0,,0.892857143,-0.01153642,0.0115,50,1.3,0.8,0,0,1,0.2
"LINESTRING (139.6409251 35.4464478,139.6408776 35.446389,139.6403892 35.4457792)",55,19,50,88.791,4.5,4.5,22.5,1,9,7.5,6,2,2,0,0,0,0,,3,0.014641124,-0.0146,50,1.3,2.6,0,0,1,0.2
"LINESTRING (139.6426812 35.4468273,139.6427413 35.4469124,139.6430167 35.447266,139.643133 35.4474153,139.6432611 35.447582,139.6435169 35.4479163,139.6435943 35.4480125)",56,20,49,155.606,12.5,12.5,35,1,29,18.75,11,2,2,0,0,0,0,,1.866666667,0.001927946,-0.0019,,3.1,3.4,0,0,1,0.357142857142857
"LINESTRING (139.6447498 35.4477398,139.6446028 35.4477042,139.644531 35.4476842,139.6444169 35.4476724,139.6442988 35.4476805,139.6442038 35.4477078,139.6439433 35.4478353,139.6437412 35.4479398,139.6435943 35.4480125)",57,20,21,115.828,7,7,24.5,1,13,13,13,2,2,0,0,0,0,,1.884615385,-0.002590047,0.0026,40,3.1,2.8,0,0,1,0.285714285714286
"LINESTRING (139.6444766 35.4471134,139.6445236 35.4471754,139.6447475 35.4474748,139.6447952 35.4475357,139.6447801 35.4476212,139.6447498 35.4477398)",58,21,39,78.194,5.5,5.5,20,1,42,42,42,1,2,0,0,0,0,,0.476190476,0.002557741,-0.0026,40,2.8,3,0,0,1,0.275
"LINESTRING (139.635826 35.4458467,139.6359477 35.4459258)",59,22,649,14.103,8.5,0,24,1,,0,,,2,0,0,1,0,,0,-0.127632419,0.1276,,2.8,1,1,0,0,0
"LINESTRING (139.635826 35.4458467,139.6359145 35.4457963)",60,22,648,9.782,6,0,33,1,0,0,0,0,2,0,0,1,0,,0,-0.153342875,0.1533,,2.8,1.3,1,0,0,0
"LINESTRING (139.6350535 35.4462722,139.6351633 35.4462152,139.6354684 35.4460564,139.6357124 35.4459133,139.635826 35.4458467)",61,22,621,84.504,6,6,33,1,39,32,29,2,2,0,0,0,0,,1.03125,-0.018934015,0.0189,,2.8,1.2,0,0,1,0.181818181818182
"LINESTRING (139.6357839 35.4457953,139.635826 35.4458467)",62,22,647,6.871,5,0,24,1,,0,,,2,0,0,1,0,,0,-0.218308834,0.2183,50,2.8,1.3,1,0,0,0
"LINESTRING (139.6338036 35.4473806,139.6337337 35.4473453)",63,23,622,7.45,3.5,0,11.7,1,0,0,0,0,2,0,0,1,0,,0,0,0,,1.1,1.1,1,0,0,0
"LINESTRING (139.6332866 35.4470942,139.6333428 35.447126,139.6336557 35.4473034,139.6337337 35.4473453)",64,23,286,49.194,3.5,3.5,11.7,1,56,35,14,2,2,0,0,0,0,,0.334285714,0,0,,1.1,1.1,0,0,1,0.299145299145299
"LINESTRING (139.6337337 35.4473453,139.6336822 35.4474037,139.6335468 35.4475573,139.6333256 35.4478192)",65,23,295,64.372,6,6,33,1,,0,,,2,0,0,0,0,,0,0,0,,1.1,1.1,0,0,1,0.181818181818182
"LINESTRING (139.6342775 35.4467394,139.634223 35.4467973,139.6338003 35.4472651,139.6337337 35.4473453)",66,23,282,83.47,6,6,33,1,56,43.5,30,2,2,0,0,0,0,,0.75862069,0,0,,1.1,1.1,0,0,1,0.181818181818182
"LINESTRING (139.6316222 35.4493328,139.631288 35.4497587,139.6310514 35.4500556,139.6309584 35.4501755)",67,24,31,111.338,5.5,5.5,27.7,1,39,25.5,12,2,2,0,0,0,0,,1.08627451,0,0,,2.5,2.5,0,0,1,0.1985559566787
"LINESTRING (139.6322512 35.44884,139.6316801 35.4492842,139.6316222 35.4493328)",68,24,226,79.056,3,3,35,1,10,10,10,2,2,0,0,0,0,,3.5,0.003794778,-0.0038,,2.5,2.8,0,0,1,0.085714285714286
"LINESTRING (139.6311088 35.4493563,139.6311787 35.4493731,139.6314813 35.4493022,139.6315552 35.4493009,139.6316222 35.4493328)",69,24,630,48.85,3,3,13,1,39,24.5,10,2,0,0,0,0,0,,0.530612245,0.002047083,-0.002,,2.5,2.6,0,0,0,0.230769230769231
"LINESTRING (139.6372833 35.4496789,139.6372259 35.449606)",70,25,27,9.63,5.5,0,26,1,,0,,,2,0,0,1,0,,0,0,0,30,2.3,2.3,1,0,0,0
"LINESTRING (139.6375386 35.4499881,139.6373476 35.4497546,139.6372833 35.4496789)",71,25,85,41.436,5.5,5.5,26,1,,0,,,2,0,0,0,0,,0,0.00241336,-0.0024,30,2.3,2.4,0,0,1,0.211538461538462
"LINESTRING (139.6372227 35.4497226,139.6372833 35.4496789)",72,25,86,7.331,4.8,0,25.8,1,,0,,,2,0,0,1,0,,0,0,0,,2.3,2.3,1,0,0,0
"LINESTRING (139.6379704 35.448563,139.6380011 35.4486057,139.63828 35.4489704,139.6383407 35.4490416)",73,26,121,62.92,8.5,8.5,24,1,67,30.2,11,2,2,0,0,0,0,,0.794701987,0.00317864,-0.0032,,2.3,2.5,0,0,1,0.354166666666667
"LINESTRING (139.6383407 35.4490416,139.6382092 35.4491131,139.6377905 35.4493185)",74,26,659,58.594,7.38,7.38,25.83,1,,0,,,1,0,0,0,0,,0,0.001706659,-0.0017,,2.3,2.4,0,0,1,0.285714285714286
"LINESTRING (139.6393679 35.4485144,139.6393056 35.4485443,139.6388223 35.4487923,139.6384769 35.4489641,139.6383407 35.4490416)",75,26,76,109.997,5,5,25.4,0,0,0,0,0,0,0,0,1,0,,0,0.001818231,-0.0018,,2.3,2.5,0,0,0,0.196850393700787
"LINESTRING (139.6372259 35.449606,139.637155 35.4496385)",76,27,681,7.369,4.8,0,25.8,1,,0,,,2,0,0,0,0,,0,0,0,,2.3,2.3,1,0,0,0
"LINESTRING (139.6372259 35.449606,139.6371762 35.4495446,139.636918 35.4492084,139.6368919 35.4491753,139.6368549 35.4491284)",77,27,120,62.848,6,6,18,1,31,19.66666667,13,2,2,0,0,0,0,,0.915254237,-0.003182281,0.0032,,2.3,2.1,0,0,1,0.333333333333333
"LINESTRING (139.6377905 35.4493185,139.6373396 35.4495518,139.6372259 35.449606)",78,27,659,60.319,4.8,4.8,25.8,1,,0,,,0,0,0,0,0,,0,0.001657852,-0.0017,,2.3,2.4,0,0,0,0.186046511627907
"LINESTRING (139.6317685 35.4365592,139.6322063 35.4367657)",79,28,472,45.83,6.4,6.4,26.2,1,,0,,,1,0,0,0,0,,0,0,0,30,2,2,0,0,1,0.244274809160305
"LINESTRING (139.6322771 35.4367999,139.6322063 35.4367657)",80,28,468,7.457,6.4,0,26.2,1,,0,,,1,0,0,0,0,,0,0,0,30,2,2,1,0,0,0
"LINESTRING (139.6322063 35.4367657,139.6321696 35.4368185,139.6312566 35.4381325)",81,28,216,174.645,1.5,1.5,13,1,,0,,,2,0,0,0,0,,0,-0.005153311,0.0052,,2,1.1,0,0,1,0.115384615384615
"LINESTRING (139.6295356 35.4490017,139.6296083 35.4491118)",82,29,523,13.901,5.7,5.7,19.2,1,44,35,30,2,1,0,0,0,0,,0.548571429,0.014387454,-0.0144,50,3.6,3.8,0,0,1,0.296875
"LINESTRING (139.6292156 35.4494507,139.6295353 35.4491825,139.6296083 35.4491118)",83,29,490,51.843,6,6,18,1,45,37.5,30,2,2,0,0,0,0,,0.48,-0.005786702,0.0058,,3.6,3.3,0,0,1,0.333333333333333
"LINESTRING (139.629905 35.4495395,139.629862 35.4494775,139.6296083 35.4491118)",84,29,499,54.626,5.7,5.7,19.2,1,45,30,13,2,1,0,0,0,0,,0.64,-0.016475671,0.0165,50,3.6,2.7,0,0,1,0.296875
"LINESTRING (139.629905 35.4495395,139.6300821 35.4497193)",85,30,499,25.633,5.7,5.7,19.2,1,,0,,,1,0,0,0,0,,0,0,0,50,2.7,2.7,0,0,1,0.296875
"LINESTRING (139.6301659 35.4497664,139.6300821 35.4497193)",86,30,539,9.222,5.7,5.7,19.2,1,30,18,7,2,1,0,0,0,0,,1.066666667,0.010843635,-0.0108,50,2.7,2.8,0,0,1,0.296875
"LINESTRING (139.6300821 35.4497193,139.6301413 35.4496431,139.6303968 35.4493069)",87,30,256,53.995,0,0,5.5,0,,0,,,0,0,0,0,0,,0,-0.001852023,0.0019,,2.7,2.6,0,0,0,0
"LINESTRING (139.631062 35.4502329,139.6309584 35.4501755)",88,31,615,11.349,8,0,25,1,0,0,0,0,0,0,0,1,0,,0,-0.008811349,0.0088,40,2.5,2.4,1,0,0,0
"LINESTRING (139.6305965 35.4499837,139.6308525 35.4501197,139.6309584 35.4501755)",89,31,142,39.108,8,8,25,1,43,41,39,2,0,0,0,0,0,,0.609756098,0.017899151,-0.0179,50,2.5,3.2,0,0,0,0.32
"LINESTRING (139.639204 35.4408677,139.6390853 35.4409429,139.6387364 35.4412935)",90,32,195,63.81,5,5,29.1,1,,0,,,2,0,0,0,0,,0,-0.004701457,0.0047,40,2.1,1.8,0,0,1,0.171821305841924
"LINESTRING (139.6396204 35.4404402,139.6392976 35.4407704,139.639204 35.4408677)",91,32,379,60.685,3.5,3.5,14.6,1,,0,,,1,0,0,0,0,,0,-0.001647854,0.0016,40,2.1,2,0,0,1,0.23972602739726
"LINESTRING (139.6387732 35.4405829,139.6390976 35.4408066,139.639204 35.4408677)",92,32,206,50.295,5.5,5.5,20.5,1,,0,,,2,0,0,0,0,,0,-0.001988269,0.002,50,2.1,2,0,0,1,0.268292682926829
"LINESTRING (139.6396376 35.4411329,139.6393152 35.4409106,139.639204 35.4408677)",93,32,405,49.409,6,6,31,1,,0,,,1,0,0,0,0,,0,0,0,50,2.1,2.1,0,0,1,0.193548387096774
"LINESTRING (139.6382079 35.4419933,139.6384493 35.4417041,139.6391512 35.4409844,139.639204 35.4408677)",94,32,718,154.932,5,5,29.1,1,,0,,,2,0,0,0,0,,0,-0.003227222,0.0032,50,2.1,1.6,0,0,1,0.171821305841924
"LINESTRING (139.636579 35.4426108,139.6369614 35.4428887,139.6370376 35.4429441)",95,33,441,55.673,0,0,6,0,,0,,,0,0,0,0,0,,0,-0.003592406,0.0036,,1.4,1.2,0,0,0,0
"LINESTRING (139.6370376 35.4429441,139.6369921 35.4429679,139.6364824 35.4432341)",96,33,34,59.745,7,7,20,1,30,30,30,1,2,0,0,0,0,,0.666666667,0.010042681,-0.01,50,1.4,2,0,0,1,0.35
"LINESTRING (139.6373533 35.4427207,139.6373036 35.4427637,139.6370637 35.4429271,139.6370376 35.4429441)",97,33,661,37.922,7,7,20,1,27,15.9,4.8,2,2,0,0,0,0,,1.257861635,0.013184959,-0.0132,50,1.4,1.9,0,0,1,0.35
"LINESTRING (139.6364824 35.4432341,139.6363974 35.4431726,139.6357006 35.4426687)",98,34,323,94.702,0,0,20,2,35,25,14,1,3,0,0,0,0,,0.8,-0.001055944,0.0011,,2,1.9,0,1,1,0
"LINESTRING (139.6364824 35.4432341,139.6362254 35.443373,139.6360052 35.4434906)",99,34,35,51.791,7,7,20,1,0,0,0,0,2,0,0,0,0,,0,-0.001930837,0.0019,50,2,1.9,0,0,1,0.35
"LINESTRING (139.6362719 35.4436128,139.6360052 35.4434906)",100,35,139,27.719,6,6,20,1,0,0,0,0,2,0,0,1,0,,0,0.007215268,-0.0072,,1.9,2.1,0,0,1,0.3
"LINESTRING (139.6360052 35.4434906,139.6356159 35.4437891)",101,35,346,48.429,12,12,25,1,0,0,0,0,2,0,0,0,0,,0,-0.006194635,0.0062,50,1.9,1.6,0,0,1,0.48
"LINESTRING (139.6353254 35.4429913,139.6358378 35.4433587,139.6359108 35.4434162,139.6360052 35.4434906)",102,35,317,82.931,0,0,20,2,30,26,20,1,3,0,0,0,0,,0.769230769,0,0,,1.9,1.9,0,1,1,0
"LINESTRING (139.6346132 35.444694,139.6346691 35.4447362,139.6347682 35.4448111,139.6348471 35.4448707)",103,36,89,28.897,6,6,24,1,0,0,0,0,0,0,1,0,0,,0,0.003460567,-0.0035,50,1.5,1.6,0,0,0,0.25
"LINESTRING (139.6346132 35.444694,139.6345432 35.4447708,139.6343044 35.4450366)",104,36,336,47.263,7,7,20,1,34,24.33333333,10,2,2,0,0,0,0,,0.821917808,0,0,50,1.5,1.5,0,0,1,0.35
"LINESTRING (139.6339773 35.4442135,139.634045 35.4442646,139.6344933 35.4446043,139.6346132 35.444694)",105,36,319,78.568,5.5,5.5,24.5,1,37,25.75,12,1,2,0,0,0,0,,0.951456311,-0.003818348,0.0038,50,1.5,1.2,0,0,1,0.224489795918367
"LINESTRING (139.6346692 35.4446304,139.6346132 35.444694)",106,36,633,8.703,7,0,20,1,,0,,,2,0,0,0,0,,0,0.011490291,-0.0115,50,1.5,1.6,1,0,0,0
"LINESTRING (139.6350275 35.4462183,139.63495 35.4462704,139.6345221 35.4465514,139.6343865 35.4466435,139.6342775 35.4467394)",107,37,282,89.415,6,6,33,1,76,35,19,2,2,0,0,0,0,,0.942857143,-0.001118381,0.0011,,1.2,1.1,0,0,1,0.181818181818182
"LINESTRING (139.6350535 35.4462722,139.6350275 35.4462183)",108,37,621,6.44,6,0,15,1,0,0,0,0,2,0,0,1,0,,0,0,0,,1.2,1.2,1,0,0,0
"LINESTRING (139.6357839 35.4457953,139.6356684 35.4458599,139.6351246 35.446164,139.6350275 35.4462183)",109,37,647,83.11,6,6,33,1,39,32,29,2,2,0,0,0,0,,1.03125,0.001203225,-0.0012,,1.2,1.3,0,0,1,0.181818181818182
"LINESTRING (139.6427875 35.444994,139.6428654 35.4449627)",110,38,715,7.868,5,0,17,1,,0,,,2,0,0,1,0,,0,0,0,,2,2,1,0,0,0
"LINESTRING (139.6437118 35.4445274,139.6429249 35.4449388,139.6428654 35.4449627)",111,38,274,90.71,5,5,17,1,,0,,,2,0,0,0,0,,0,-0.001102414,0.0011,,2,1.9,0,0,1,0.294117647058823
"LINESTRING (139.6428654 35.4449627,139.6428198 35.4449072,139.6424254 35.4444345)",112,38,278,70.981,7,7,25.5,1,38,33.5,30,2,2,0,0,0,0,,0.76119403,-0.014088277,0.0141,50,2,1,0,0,1,0.274509803921569
"LINESTRING (139.6433202 35.4455719,139.6429098 35.4450192,139.6428654 35.4449627)",113,38,52,79.287,7,7,25.5,1,,0,,,2,0,0,0,0,,0,0.016396131,-0.0164,50,2,3.3,0,0,1,0.274509803921569
"LINESTRING (139.6444766 35.4471134,139.644548 35.4470747,139.6452998 35.446685)",114,39,632,88.488,6.5,6.5,18.5,1,,0,,,1,0,0,0,0,,0,0.002260193,-0.0023,30,3,3.2,0,0,1,0.351351351351351
"LINESTRING (139.6441887 35.4467556,139.6444377 35.4470623,139.6444766 35.4471134)",115,39,262,47.574,5.5,5.5,20,1,64,64,64,1,2,0,0,0,0,,0.3125,0.004203977,-0.0042,40,3,3.2,0,0,1,0.275
